SPN ID,Project Folder,Sub folder,N in Group,N in condition,Group,Nick name,Paper,Paper 2022,Lead Researcher,Journal,Year,Regular,Less regular comparision,Original electrode cluster,Original Time window,Notes,Cluster 1,Cluster 2,Cluster 3,,ATT,W,W explantions,Original,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Cluster 1,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Cluster 2,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Cluster 3,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Left,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Right,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Early,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Late,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,,,SPN ID,Electrodes,Epoch,N particpants,N trials in design,N trials recorded,p included,Max ,Min,M components removed,Max,Min,,p included No ICA,Max,Min,,,,Project,Expeirment,Group,,,,,,,,,,,,,
81,13,EX3 Sound Col Cong,26,26,35,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM20,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.175000,,PSYMM20,13,81,-0.198945715,0.669018721,-0.29736943,26,0.615384615,-1.516292524,0.141989179,0.131205366,0.270222509,-0.469168225,0.071276794,PSYMM20,13,81,-0.198945715,0.669018721,-0.29736943,26,0.615384615,-1.516292524,0.141989179,0.131205366,0.270222509,-0.469168225,0.071276794,PSYMM20,13,81,-0.153004869,0.772956358,-0.197947617,26,0.615384615,-1.009338762,0.322482081,0.151589214,0.31220383,-0.465208699,0.15919896,PSYMM20,13,81,-0.134429473,0.510731882,-0.26320948,26,0.576923077,-1.342110275,0.191622813,0.100162763,0.206289071,-0.340718544,0.071859598,PSYMM20,13,81,-0.285528647,0.885918581,-0.322296713,26,0.653846154,-1.643397231,0.112820252,0.173742928,0.357830259,-0.643358906,0.072301612,PSYMM20,13,81,-0.112362643,0.790752156,-0.142095905,26,0.423076923,-0.724549791,0.4754552,0.155079257,0.319391708,-0.431754351,0.207029065,PSYMM20,13,81,-0.169124875,0.948941658,-0.178224734,26,0.615384615,-0.908771398,0.372148829,0.18610277,0.38328583,-0.552410705,0.214160956,PSYMM20,13,81,-0.274649681,0.84721068,-0.32418109,26,0.538461538,-1.653005701,0.110834786,0.166151684,0.342195799,-0.616845481,0.067546118,,,81,PO7 O1 O2 PO8,300-1000,26,600,15600,0.955,0.995,0.842,9.654,17,3,,0.650,0.970,0.005,,,,13,EX3 Sound Col Cong,35,,,,,,,,,,,,,
82,13,EX3 Sound Col Cong,,26,35,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM40,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.350000,,PSYMM40,13,82,-0.318879246,0.907985003,-0.351194397,26,0.692307692,-1.790747085,0.085451594,0.17807051,0.366743079,-0.685622325,0.047863834,PSYMM40,13,82,-0.318879246,0.907985003,-0.351194397,26,0.692307692,-1.790747085,0.085451594,0.17807051,0.366743079,-0.685622325,0.047863834,PSYMM40,13,82,-0.452090599,1.086575107,-0.41606935,26,0.730769231,-2.121545736,0.043965607,0.213094911,0.438877184,-0.890967783,-0.013213415,PSYMM40,13,82,-0.084036842,0.656153632,-0.128074948,26,0.615384615,-0.653056659,0.519680923,0.128682314,0.265026187,-0.34906303,0.180989345,PSYMM40,13,82,-0.04546247,0.978942615,-0.046440383,26,0.384615385,-0.236800419,0.814741232,0.191986442,0.395403479,-0.440865949,0.349941009,PSYMM40,13,82,-0.592295652,1.179476536,-0.502168237,26,0.769230769,-2.560565638,0.016872548,0.23131438,0.476400883,-1.068696535,-0.11589477,PSYMM40,13,82,-0.236520522,1.074457167,-0.220130247,26,0.615384615,-1.122448425,0.272336634,0.210718387,0.433982642,-0.670503163,0.19746212,PSYMM40,13,82,-0.390004238,1.108251493,-0.351909509,26,0.653846154,-1.794393451,0.084853489,0.217346,0.447632466,-0.837636704,0.057628227,,,82,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,13,EX3 Sound Col Cong,,26,35,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM60,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.525000,,PSYMM60,13,83,-0.320129625,1.098611816,-0.291394668,26,0.576923077,-1.485827096,0.149827503,0.215455503,0.443738916,-0.763868541,0.123609291,PSYMM60,13,83,-0.320129625,1.098611816,-0.291394668,26,0.576923077,-1.485827096,0.149827503,0.215455503,0.443738916,-0.763868541,0.123609291,PSYMM60,13,83,-0.405609596,1.073243714,-0.377928695,26,0.615384615,-1.92706579,0.065409509,0.210480409,0.433492518,-0.839102114,0.027882921,PSYMM60,13,83,-0.120666342,0.819976111,-0.147158363,26,0.615384615,-0.750363366,0.460040301,0.160810546,0.331195519,-0.451861861,0.210529176,PSYMM60,13,83,-0.351121526,1.137019997,-0.308808576,26,0.615384615,-1.574620954,0.127915463,0.222987967,0.459252315,-0.810373841,0.10813079,PSYMM60,13,83,-0.289137669,1.276083555,-0.226582082,26,0.692307692,-1.155346458,0.258871947,0.250260575,0.515421302,-0.804558971,0.226283634,PSYMM60,13,83,-0.314263962,1.232319599,-0.255018229,26,0.538461538,-1.300342928,0.205344004,0.241677757,0.497744658,-0.81200862,0.183480696,PSYMM60,13,83,-0.336178696,1.049377492,-0.320360117,26,0.653846154,-1.633522487,0.114891632,0.205799858,0.423852742,-0.760031437,0.087674046,,,83,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,13,EX3 Sound Col Cong,,26,35,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM80,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.700000,,PSYMM80,13,84,-1.178016758,1.30506251,-0.902651596,26,0.769230769,-4.602638102,0.000104371,0.255943816,0.527126156,-1.705142913,-0.650890602,PSYMM80,13,84,-1.178016758,1.30506251,-0.902651596,26,0.769230769,-4.602638102,0.000104371,0.255943816,0.527126156,-1.705142913,-0.650890602,PSYMM80,13,84,-1.35035768,1.449159925,-0.931821021,26,0.807692308,-4.751373567,7.09707E-05,0.284203644,0.585328361,-1.935686041,-0.765029319,PSYMM80,13,84,-0.693406535,0.933891169,-0.7424918,26,0.692307692,-3.785980175,0.000856625,0.183151127,0.377206806,-1.070613341,-0.316199728,PSYMM80,13,84,-1.092780816,1.417093415,-0.771142399,26,0.769230769,-3.932070141,0.000589761,0.277914884,0.572376417,-1.665157233,-0.520404399,PSYMM80,13,84,-1.263253246,1.463410792,-0.863225318,26,0.807692308,-4.401602741,0.000175738,0.286998469,0.591084411,-1.854337657,-0.672168835,PSYMM80,13,84,-1.333145794,1.5367921,-0.867486106,26,0.730769231,-4.423328581,0.000166122,0.301389727,0.620723763,-1.953869557,-0.712422032,PSYMM80,13,84,-1.164219427,1.290737811,-0.901979796,26,0.807692308,-4.599212582,0.000105302,0.253134511,0.521340284,-1.685559711,-0.642879143,,,84,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,13,EX3 Sound Col Cong,,26,35,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM100,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.875000,,PSYMM100,13,85,-2.353633026,1.288966136,-1.825985152,26,0.961538462,-9.31073392,1.32802E-09,0.252787057,0.520624689,-2.874257715,-1.833008336,PSYMM100,13,85,-2.353633026,1.288966136,-1.825985152,26,0.961538462,-9.31073392,1.32802E-09,0.252787057,0.520624689,-2.874257715,-1.833008336,PSYMM100,13,85,-2.686610825,1.431057963,-1.877359894,26,1,-9.572694733,7.68317E-10,0.280653557,0.57801682,-3.264627645,-2.108594005,PSYMM100,13,85,-1.331343472,0.940960273,-1.414877451,26,0.923076923,-7.214487731,1.46571E-07,0.184537492,0.380062079,-1.711405552,-0.951281393,PSYMM100,13,85,-2.101269135,1.390722353,-1.510919221,26,1,-7.704206593,4.63752E-08,0.272743093,0.561724915,-2.662994049,-1.53954422,PSYMM100,13,85,-2.605996848,1.746578858,-1.492057937,26,0.923076923,-7.608032537,5.79916E-08,0.342532295,0.705458468,-3.311455316,-1.90053838,PSYMM100,13,85,-2.298801402,1.419096572,-1.619904837,26,0.884615385,-8.259926373,1.30532E-08,0.278307735,0.57318551,-2.871986912,-1.725615892,PSYMM100,13,85,-2.466685749,1.407763226,-1.752202149,26,0.961538462,-8.934512949,2.96001E-09,0.276085083,0.568607872,-3.035293622,-1.898077877,,,85,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,13,EX4 Direction Col Cong,26,26,36,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM20,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.175000,,PSYMM20,13,86,-0.168907769,1.160785703,-0.145511586,26,0.5,-0.741966419,0.46502184,0.227648806,0.468851492,-0.637759261,0.299943723,PSYMM20,13,86,-0.168907769,1.160785703,-0.145511586,26,0.5,-0.741966419,0.46502184,0.227648806,0.468851492,-0.637759261,0.299943723,PSYMM20,13,86,-0.220204481,1.043612423,-0.211002165,26,0.538461538,-1.075904158,0.292244047,0.204669235,0.42152418,-0.641728661,0.201319699,PSYMM20,13,86,-0.142674125,0.822505853,-0.173462748,26,0.692307692,-0.884489936,0.384859607,0.161306669,0.332217304,-0.474891429,0.189543178,PSYMM20,13,86,-0.127821797,1.570966899,-0.081365048,26,0.461538462,-0.414881966,0.681767135,0.308091957,0.634527262,-0.762349059,0.506705466,PSYMM20,13,86,-0.209994215,1.496113203,-0.140359844,26,0.576923077,-0.715697582,0.480809902,0.293411939,0.604293201,-0.814287416,0.394298985,PSYMM20,13,86,-0.117686401,1.119335404,-0.105139533,26,0.423076923,-0.53610853,0.596621892,0.219519733,0.452109354,-0.569795755,0.334422952,PSYMM20,13,86,-0.158336732,1.343373372,-0.117865022,26,0.423076923,-0.600996048,0.553253217,0.263457194,0.542600247,-0.70093698,0.384263515,,,86,PO7 O1 O2 PO8,300-1000,26,600,15600,0.905,0.995,0.448,10.192,17,0,,0.623,0.990,0.202,,,,13,EX4 Direction Col Cong,36,,,,,,,,,,,,,
87,13,EX4 Direction Col Cong,,26,36,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM40,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.350000,,PSYMM40,13,87,0.139521882,1.415842876,0.098543337,26,0.461538462,0.502474399,0.619731406,0.277669633,0.571871314,-0.432349432,0.711393195,PSYMM40,13,87,0.139521882,1.415842876,0.098543337,26,0.461538462,0.502474399,0.619731406,0.277669633,0.571871314,-0.432349432,0.711393195,PSYMM40,13,87,0.264777426,1.396748466,0.189567007,26,0.461538462,0.966605867,0.342999533,0.273924911,0.564158914,-0.299381489,0.82893634,PSYMM40,13,87,0.062781753,1.057939982,0.059343397,26,0.576923077,0.30259314,0.764703333,0.207479101,0.427311206,-0.364529454,0.490092959,PSYMM40,13,87,0.029500912,1.360028104,0.021691399,26,0.423076923,0.110604868,0.912812842,0.266723455,0.549327239,-0.519826327,0.578828152,PSYMM40,13,87,0.249542643,1.721844717,0.144927496,26,0.461538462,0.738988128,0.466796347,0.337681531,0.695468132,-0.445925489,0.945010775,PSYMM40,13,87,0.27093068,1.214306225,0.223115615,26,0.384615385,1.137670874,0.2660443,0.238145044,0.490468899,-0.219538219,0.761399579,PSYMM40,13,87,0.103642657,1.559735331,0.066448874,26,0.5,0.338824105,0.737571683,0.305889265,0.629990734,-0.526348078,0.733633391,,,87,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,13,EX4 Direction Col Cong,,26,36,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM60,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.525000,,PSYMM60,13,88,-0.336871894,1.093563166,-0.308049781,26,0.730769231,-1.570751844,0.128812025,0.214465382,0.441699722,-0.778571616,0.104827828,PSYMM60,13,88,-0.336871894,1.093563166,-0.308049781,26,0.730769231,-1.570751844,0.128812025,0.214465382,0.441699722,-0.778571616,0.104827828,PSYMM60,13,88,-0.312718663,1.150440146,-0.271825235,26,0.730769231,-1.386042179,0.177973711,0.225619875,0.464672831,-0.777391495,0.151954168,PSYMM60,13,88,-0.249353655,0.978138016,-0.254926862,26,0.692307692,-1.299877045,0.205501222,0.191828647,0.395078495,-0.64443215,0.14572484,PSYMM60,13,88,-0.31989133,1.175377856,-0.272160419,26,0.653846154,-1.387751287,0.177458622,0.230510563,0.47474539,-0.79463672,0.154854061,PSYMM60,13,88,-0.353852814,1.276114583,-0.277289217,26,0.692307692,-1.413903129,0.169723105,0.25026666,0.515433835,-0.869286649,0.161581021,PSYMM60,13,88,-0.324886062,1.248781762,-0.260162401,26,0.653846154,-1.326573161,0.19664111,0.244906253,0.504393869,-0.829279931,0.179507808,PSYMM60,13,88,-0.319199326,1.143729876,-0.279086289,26,0.692307692,-1.423066431,0.16707696,0.224303883,0.461962494,-0.781161821,0.142763168,,,88,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,13,EX4 Direction Col Cong,,26,36,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM80,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.700000,,PSYMM80,13,89,-1.042350787,1.236730653,-0.842827647,26,0.846153846,-4.297594621,0.000230024,0.242542836,0.499526321,-1.541877108,-0.542824466,PSYMM80,13,89,-1.042350787,1.236730653,-0.842827647,26,0.846153846,-4.297594621,0.000230024,0.242542836,0.499526321,-1.541877108,-0.542824466,PSYMM80,13,89,-1.075789377,1.292719776,-0.832190701,26,0.846153846,-4.243356622,0.000264646,0.253523206,0.522140817,-1.597930194,-0.553648559,PSYMM80,13,89,-0.551524823,0.781422313,-0.705796102,26,0.807692308,-3.598868095,0.001376732,0.153249524,0.315623303,-0.867148125,-0.23590152,PSYMM80,13,89,-1.116140514,1.411137571,-0.790950888,26,0.846153846,-4.033074011,0.000455078,0.276746847,0.5699708,-1.686111314,-0.546169715,PSYMM80,13,89,-0.968561285,1.420658735,-0.681769141,26,0.769230769,-3.476354155,0.001873272,0.2786141,0.573816481,-1.542377766,-0.394744804,PSYMM80,13,89,-0.897933947,1.286649176,-0.697885611,26,0.769230769,-3.558532351,0.00152404,0.252332664,0.519688849,-1.417622796,-0.378245098,PSYMM80,13,89,-1.078313992,1.34157694,-0.803766046,26,0.884615385,-4.098418752,0.000384645,0.263104884,0.541874653,-1.620188645,-0.536439339,,,89,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,13,EX4 Direction Col Cong,,26,36,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM100,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.875000,,PSYMM100,13,90,-2.701031003,1.676160681,-1.611439186,26,0.923076923,-8.216759855,1.43829E-08,0.328722155,0.67701595,-3.378046954,-2.024015053,PSYMM100,13,90,-2.701031003,1.676160681,-1.611439186,26,0.923076923,-8.216759855,1.43829E-08,0.328722155,0.67701595,-3.378046954,-2.024015053,PSYMM100,13,90,-2.619480262,1.888126498,-1.387343626,26,0.923076923,-7.074092222,2.05013E-07,0.370292071,0.762630797,-3.382111059,-1.856849465,PSYMM100,13,90,-1.472469431,1.005928888,-1.46379078,26,0.923076923,-7.463897752,8.12529E-08,0.197278886,0.406303471,-1.878772902,-1.066165961,PSYMM100,13,90,-2.824393947,2.020651114,-1.397764278,26,0.961538462,-7.127227331,1.80509E-07,0.396282287,0.816158648,-3.640552595,-2.008235299,PSYMM100,13,90,-2.577668223,2.260868948,-1.140122795,26,0.846153846,-5.813508378,4.62341E-06,0.44339288,0.913184731,-3.490852954,-1.664483493,PSYMM100,13,90,-2.275325401,1.611088858,-1.412290445,26,0.884615385,-7.20129654,1.5125E-07,0.31596052,0.650732873,-2.926058274,-1.624592528,PSYMM100,13,90,-2.95215961,1.785865607,-1.653069301,26,0.923076923,-8.429032622,8.94766E-09,0.350237061,0.721326729,-3.673486339,-2.230832881,,,90,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,13,EX5 Distribution Task,26,26,37,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM20,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.175000,,PSYMM20,13,91,-0.138238108,0.935327102,-0.147796538,26,0.576923077,-0.753617432,0.458118355,0.183432736,0.377786792,-0.5160249,0.239548685,PSYMM20,13,91,-0.138238108,0.935327102,-0.147796538,26,0.576923077,-0.753617432,0.458118355,0.183432736,0.377786792,-0.5160249,0.239548685,PSYMM20,13,91,-0.466896816,1.256388799,-0.371618098,26,0.653846154,-1.894887933,0.069729053,0.246398115,0.507466418,-0.974363234,0.040569603,PSYMM20,13,91,-0.079772167,0.640868093,-0.124475173,26,0.615384615,-0.634701338,0.531389356,0.125684574,0.258852225,-0.338624392,0.179080058,PSYMM20,13,91,-0.122849734,1.003779473,-0.122387175,26,0.615384615,-0.624054594,0.538245169,0.196857351,0.405435303,-0.528285037,0.282585569,PSYMM20,13,91,-0.153626055,1.461064566,-0.105146657,26,0.423076923,-0.536144855,0.596597159,0.286538336,0.59013675,-0.743762804,0.436510695,PSYMM20,13,91,-0.024790662,0.848210287,-0.029227024,26,0.538461538,-0.149029165,0.882726291,0.166347723,0.342599549,-0.367390211,0.317808887,PSYMM20,13,91,-0.224759332,1.085084034,-0.207135416,26,0.653846154,-1.056187526,0.300982731,0.212802487,0.438274926,-0.663034259,0.213515594,,,91,PO7 O1 O2 PO8,300-1000,26,600,15600,0.931,0.998,0.560,10.269,18,1,,0.680,0.970,0.000,,,,13,EX5 Distribution Task,37,,,,,,,,,,,,,
92,13,EX5 Distribution Task,,26,37,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM40,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.350000,,PSYMM40,13,92,-0.265914182,1.069869213,-0.248548308,26,0.538461538,-1.267352672,0.21670776,0.209818615,0.432129527,-0.698043709,0.166215345,PSYMM40,13,92,-0.265914182,1.069869213,-0.248548308,26,0.538461538,-1.267352672,0.21670776,0.209818615,0.432129527,-0.698043709,0.166215345,PSYMM40,13,92,-0.546241491,1.23034754,-0.443973327,26,0.653846154,-2.263828659,0.032516026,0.241291004,0.496948126,-1.043189617,-0.049293365,PSYMM40,13,92,-0.215079151,0.652177301,-0.329786319,26,0.576923077,-1.681586874,0.105101162,0.127902492,0.263420113,-0.478499264,0.048340962,PSYMM40,13,92,-0.228323222,1.066790187,-0.214028236,26,0.615384615,-1.091334154,0.285532474,0.209214769,0.430885882,-0.659209104,0.202562659,PSYMM40,13,92,-0.303504741,1.254362208,-0.241959411,26,0.576923077,-1.233755757,0.228767553,0.246000668,0.50664786,-0.810152601,0.20314312,PSYMM40,13,92,-0.285077815,1.049018243,-0.271756775,26,0.615384615,-1.385693098,0.178079061,0.205729404,0.423707638,-0.708785453,0.138629823,PSYMM40,13,92,-0.309130795,1.19677238,-0.258303751,26,0.576923077,-1.317095868,0.199751937,0.234706374,0.483386825,-0.79251762,0.17425603,,,92,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,13,EX5 Distribution Task,,26,37,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM60,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.525000,,PSYMM60,13,93,-0.736609997,1.121113143,-0.657034485,26,0.846153846,-3.350231661,0.002565379,0.219868377,0.452827398,-1.189437395,-0.283782598,PSYMM60,13,93,-0.736609997,1.121113143,-0.657034485,26,0.846153846,-3.350231661,0.002565379,0.219868377,0.452827398,-1.189437395,-0.283782598,PSYMM60,13,93,-0.953284711,1.095173754,-0.870441524,26,0.807692308,-4.438398314,0.000159762,0.214781244,0.442350252,-1.395634963,-0.510934459,PSYMM60,13,93,-0.546672604,0.648180782,-0.843395267,26,0.846153846,-4.300488924,0.000228309,0.12711871,0.261805884,-0.808478487,-0.28486672,PSYMM60,13,93,-0.532658468,1.214443927,-0.438602768,26,0.692307692,-2.236444071,0.03448358,0.238172049,0.490524518,-1.023182985,-0.04213395,PSYMM60,13,93,-0.940561031,1.314419709,-0.715571308,26,0.884615385,-3.648712064,0.00121382,0.257778913,0.53090561,-1.471466641,-0.409655421,PSYMM60,13,93,-0.859731982,0.939411969,-0.915180996,26,0.846153846,-4.666525757,8.84359E-05,0.184233845,0.379436706,-1.239168688,-0.480295276,PSYMM60,13,93,-0.732495207,1.290881844,-0.567437841,26,0.807692308,-2.893376623,0.007789325,0.253162758,0.521398461,-1.253893667,-0.211096746,,,93,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,13,EX5 Distribution Task,,26,37,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM80,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.700000,,PSYMM80,13,94,-1.120441418,1.109288053,-1.010054526,26,0.923076923,-5.150287737,2.52748E-05,0.217549286,0.448051141,-1.56849256,-0.672390277,PSYMM80,13,94,-1.120441418,1.109288053,-1.010054526,26,0.923076923,-5.150287737,2.52748E-05,0.217549286,0.448051141,-1.56849256,-0.672390277,PSYMM80,13,94,-1.268880136,1.340978995,-0.946234162,26,0.923076923,-4.824866458,5.866E-05,0.262987618,0.541633138,-1.810513273,-0.727246998,PSYMM80,13,94,-0.758061814,0.526302748,-1.440353137,26,0.923076923,-7.344388752,1.07689E-07,0.103216461,0.21257828,-0.970640095,-0.545483534,PSYMM80,13,94,-1.012422885,1.141442666,-0.886967795,26,0.846153846,-4.522666096,0.000128419,0.223855324,0.46103867,-1.473461555,-0.551384214,PSYMM80,13,94,-1.228459563,1.370651039,-0.8962599,26,0.884615385,-4.57004672,0.000113574,0.268806784,0.553617936,-1.782077499,-0.674841628,PSYMM80,13,94,-1.219370236,0.893855475,-1.364169343,26,0.923076923,-6.955926101,2.72439E-07,0.175299481,0.36103604,-1.580406275,-0.858334196,PSYMM80,13,94,-1.159338585,1.394443271,-0.831398888,26,0.884615385,-4.239319153,0.000267421,0.273472825,0.563227826,-1.722566411,-0.596110758,,,94,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,13,EX5 Distribution Task,,26,37,Psymm and task,World,World,Makin  ,JOCN,2020,PSYMM100,Rand,PO7 O1 O2 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.875000,,PSYMM100,13,95,-1.884608858,1.709704161,-1.102301147,26,0.884615385,-5.62065506,7.55246E-06,0.335300572,0.690564455,-2.575173313,-1.194044403,PSYMM100,13,95,-1.884608858,1.709704161,-1.102301147,26,0.884615385,-5.62065506,7.55246E-06,0.335300572,0.690564455,-2.575173313,-1.194044403,PSYMM100,13,95,-2.185056434,2.183599532,-1.000667202,26,0.884615385,-5.102421591,2.86003E-05,0.428239101,0.881974938,-3.067031372,-1.303081496,PSYMM100,13,95,-1.29762237,1.085299602,-1.195635166,26,0.884615385,-6.096567041,2.26319E-06,0.212844763,0.438361996,-1.735984366,-0.859260374,PSYMM100,13,95,-1.601843262,1.761645782,-0.909287939,26,0.884615385,-4.636476943,9.56026E-05,0.345487162,0.71154413,-2.313387392,-0.890299132,PSYMM100,13,95,-2.167374246,2.060360282,-1.051939442,26,0.884615385,-5.363859743,1.45801E-05,0.404069896,0.832197528,-2.999571774,-1.335176718,PSYMM100,13,95,-2.252680879,1.336870736,-1.685040161,26,0.961538462,-8.592052661,6.23975E-09,0.262181922,0.539973776,-2.792654655,-1.712707103,PSYMM100,13,95,-1.955041643,2.019571981,-0.968047517,26,0.846153846,-4.936093181,4.39751E-05,0.396070652,0.815722777,-2.770764419,-1.139318866,,,95,PO7 O1 O2 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
